 JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror,
   256.000,   1,  0.22380142E+09,   0.00000000E+00,  -0.49499022E+09,   0.00000000E+00,   0.00000000E+00,  -0.37939551E+07,   0.00000000E+00,   0.00000000E+00,  -0.21674092E-11,
   257.000,   1,  0.23176006E+09,   0.00000000E+00,  -0.51192857E+09,   0.00000000E+00,   0.00000000E+00,  -0.41102894E+07,   0.00000000E+00,   0.00000000E+00,  -0.19078333E-11,
   258.000,   1,  0.23971862E+09,   0.00000000E+00,  -0.52886675E+09,   0.00000000E+00,   0.00000000E+00,  -0.44266202E+07,   0.00000000E+00,   0.00000000E+00,  -0.41415083E-11,
   259.000,   1,  0.24767684E+09,   0.00000000E+00,  -0.54580420E+09,   0.00000000E+00,   0.00000000E+00,  -0.47429376E+07,   0.00000000E+00,   0.00000000E+00,  -0.49000015E-11,
   260.000,   1,  0.25563407E+09,   0.00000000E+00,  -0.56273955E+09,   0.00000000E+00,   0.00000000E+00,  -0.50592157E+07,   0.00000000E+00,   0.00000000E+00,  -0.53840979E-11,
   261.000,   1,  0.26358091E+09,   0.00000000E+00,  -0.57965278E+09,   0.00000000E+00,   0.00000000E+00,  -0.53750807E+07,   0.00000000E+00,   0.00000000E+00,  -0.51547496E-11,
   262.000,   1,  0.27154892E+09,   0.00000000E+00,  -0.59661106E+09,   0.00000000E+00,   0.00000000E+00,  -0.56917872E+07,   0.00000000E+00,   0.00000000E+00,  -0.71358293E-11,
   263.000,   1,  0.27950870E+09,   0.00000000E+00,  -0.61355183E+09,   0.00000000E+00,   0.00000000E+00,  -0.60081665E+07,   0.00000000E+00,   0.00000000E+00,  -0.54684764E-11,
   264.000,   1,  0.28746576E+09,   0.00000000E+00,  -0.63048681E+09,   0.00000000E+00,   0.00000000E+00,  -0.63244377E+07,   0.00000000E+00,   0.00000000E+00,  -0.54253283E-11,
   265.000,   1,  0.29542214E+09,   0.00000000E+00,  -0.64742035E+09,   0.00000000E+00,   0.00000000E+00,  -0.66406821E+07,   0.00000000E+00,   0.00000000E+00,  -0.56503831E-11,
   266.000,   1,  0.30338281E+09,   0.00000000E+00,  -0.66436301E+09,   0.00000000E+00,   0.00000000E+00,  -0.69570967E+07,   0.00000000E+00,   0.00000000E+00,  -0.65119263E-11,
   267.000,   1,  0.31134122E+09,   0.00000000E+00,  -0.68130087E+09,   0.00000000E+00,   0.00000000E+00,  -0.72734216E+07,   0.00000000E+00,   0.00000000E+00,  -0.81525350E-11,
   268.000,   1,  0.31929912E+09,   0.00000000E+00,  -0.69823763E+09,   0.00000000E+00,   0.00000000E+00,  -0.75897261E+07,   0.00000000E+00,   0.00000000E+00,  -0.84191511E-11,
   269.000,   1,  0.32725779E+09,   0.00000000E+00,  -0.71517605E+09,   0.00000000E+00,   0.00000000E+00,  -0.79060616E+07,   0.00000000E+00,   0.00000000E+00,  -0.95464167E-11,
