 Branch:,           1 , # of structures:,          23  outlet temperatures
      JDAY,      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),      T(C),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),   Q(m3/s),    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,    ELEVCL,
  213.8353,    -99.00,    -99.00,    -99.00,    -99.00,     16.12,     13.04,     11.66,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.06,    -99.00,      8.42,      7.88,      7.38,      6.96,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  213.8774,    -99.00,    -99.00,    -99.00,    -99.00,     15.97,     12.84,     11.46,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     16.94,    -99.00,      8.36,      7.82,      7.32,      6.95,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  213.9192,    -99.00,    -99.00,    -99.00,    -99.00,     16.10,     12.93,     11.49,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.05,    -99.00,      8.35,      7.81,      7.31,      6.94,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  213.9607,    -99.00,    -99.00,    -99.00,    -99.00,     16.37,     13.20,     11.68,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.30,    -99.00,      8.37,      7.84,      7.33,      6.95,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  214.0024,    -99.00,    -99.00,    -99.00,    -99.00,     16.69,     13.55,     11.88,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.60,    -99.00,      8.42,      7.87,      7.38,      6.97,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  214.0445,    -99.00,    -99.00,    -99.00,    -99.00,     16.95,     13.83,     12.06,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.84,    -99.00,      8.45,      7.90,      7.41,      6.98,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  214.0859,    -99.00,    -99.00,    -99.00,    -99.00,     16.99,     13.84,     12.07,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.90,    -99.00,      8.45,      7.90,      7.41,      6.98,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  214.1270,    -99.00,    -99.00,    -99.00,    -99.00,     16.89,     13.72,     12.02,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.81,    -99.00,      8.44,      7.89,      7.40,      6.97,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  214.1696,    -99.00,    -99.00,    -99.00,    -99.00,     16.81,     13.68,     12.03,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.74,    -99.00,      8.45,      7.89,      7.40,      6.97,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  214.2105,    -99.00,    -99.00,    -99.00,    -99.00,     16.84,     13.81,     12.15,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.75,    -99.00,      8.45,      7.91,      7.41,      6.97,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  214.2525,    -99.00,    -99.00,    -99.00,    -99.00,     16.88,     13.96,     12.33,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.76,    -99.00,      8.48,      7.93,      7.43,      6.98,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  214.2942,    -99.00,    -99.00,    -99.00,    -99.00,     16.94,     14.13,     12.48,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.78,    -99.00,      8.53,      7.96,      7.46,      6.99,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
  214.3355,    -99.00,    -99.00,    -99.00,    -99.00,     17.06,     14.34,     12.66,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,    -99.00,     17.87,    -99.00,      8.59,      8.01,      7.50,      7.01,    -99.00,      0.00,      0.00,      0.00,      0.00,      1.83,      1.83,     87.76,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      2.85,      0.00,      2.75,      2.40,      7.62,      1.87,      0.00,    316.08,    317.60,    311.20,    304.80,    287.12,    280.72,    274.32,    252.98,    248.72,    244.45,    243.84,    231.65,    219.46,    287.12,    256.64,    226.16,    288.54,    273.32,    254.09,    245.56,    237.74,    228.45,    212.00,
